train_dataset,test_dataset,pheno,num_train,num_test,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,r_gt,mae_gt,r_pos_rate,mae_pos_rate,r_sig_ground_truth,mae_sig_ground_truth,r_ground_truth,mae_ground_truth
hcp,chcp,age,20,20,0.1535603932402213,-0.5919611568789348,0.7302105733978793,13.206860355525912,7.722761358660141,19.54769795063627,0.5735302336011818,12.158932360061776,0.2891,0.2588,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,25,0.1690056246674093,-0.5649563950494021,0.6906855436856966,13.431238025061583,8.861717130971881,18.59995549112811,0.5735302336011818,12.158932360061776,0.3251,0.2961,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,32,0.1623318053849464,-0.5434017109626315,0.676570135516677,13.777347498475258,9.106751392550802,18.065392423484543,0.5735302336011818,12.158932360061776,0.3674,0.3329,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,41,0.1644094316020048,-0.5239031906524415,0.65617903516199,13.620940673221757,9.513789327549114,17.401520230719346,0.5735302336011818,12.158932360061776,0.3992,0.3687,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,52,0.1676935597333514,-0.5060455084243725,0.6419506836043528,13.50860885126356,9.699021234017838,16.90537454621263,0.5735302336011818,12.158932360061776,0.4329,0.4012,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,67,0.1728374033438606,-0.5007333194265721,0.6276600440191067,13.599447186711144,10.786696092544124,16.375685541245424,0.5735302336011818,12.158932360061776,0.4671,0.4417,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,85,0.1749917262481186,-0.4942760885114224,0.6148691061068319,13.515544027661123,10.957887389103158,15.904488875790284,0.5735302336011818,12.158932360061776,0.4957,0.4686,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,108,0.1751143405214756,-0.4803711266498382,0.6051604635167996,13.449587835265293,11.1405969842507,15.380168234663254,0.5735302336011818,12.158932360061776,0.5185,0.4942,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,137,0.1781446704281739,-0.4755875894825031,0.5960379598695796,13.503757315908365,11.561084094698687,15.273543145980875,0.5735302336011818,12.158932360061776,0.5377,0.5148,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,174,0.1842327275507552,-0.4686798804035171,0.5870225833452962,13.472742531235625,11.852524947111394,15.231775497712691,0.5735302336011818,12.158932360061776,0.563,0.539,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,221,0.1901365178082528,-0.4624945923033623,0.5798839624361877,13.419652391685778,12.044941857762288,14.764007526765951,0.5735302336011818,12.158932360061776,0.5747,0.5579,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,281,0.1963912807803896,-0.4587863913298997,0.5748510738775152,13.428426126501844,12.315272473053572,14.64618030411052,0.5735302336011818,12.158932360061776,0.5828,0.5728,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,20,348,0.2012467073053807,-0.4645487197076642,0.5608519535787514,13.471593001709968,12.577393348773292,14.495752415362904,0.5735302336011818,12.158932360061776,0.58,0.5787,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,20,0.1970442498252726,-0.5902436169231898,0.7326133844190644,13.209003423917103,7.741869987245469,19.54234650835069,0.5735302336011818,12.158932360061776,0.3138,0.2702,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,25,0.2074239172131372,-0.5576628987916168,0.696882467541412,13.438985982364242,8.779401559717126,18.592306269792857,0.5735302336011818,12.158932360061776,0.3581,0.3195,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,32,0.2054407630472122,-0.546580934874871,0.678578298997963,13.770145509253124,9.122665929138616,18.052873238687575,0.5735302336011818,12.158932360061776,0.4034,0.3613,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,41,0.2071646268385305,-0.5294159298798267,0.660126446097095,13.62951493655958,9.557343636270184,17.385503615565614,0.5735302336011818,12.158932360061776,0.4423,0.4014,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,52,0.2116325444689229,-0.5154369019222176,0.6420995650526599,13.51410174902281,9.752351419125974,16.90225946719634,0.5735302336011818,12.158932360061776,0.4771,0.4369,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,67,0.2156640370400083,-0.5082973149680354,0.6254327814044897,13.601168234450745,10.808528984222969,16.359798174706725,0.5735302336011818,12.158932360061776,0.5133,0.4821,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,85,0.2160070911423153,-0.5012126677770823,0.6151580253279998,13.504704632981223,10.999785582945288,15.868178663906445,0.5735302336011818,12.158932360061776,0.5355,0.5099,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,108,0.2169589293996756,-0.4935377801481868,0.6022230288787012,13.443044953801929,11.165018555585108,15.34432896526491,0.5735302336011818,12.158932360061776,0.5546,0.5324,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,137,0.216050866195526,-0.4901944013265042,0.5925214969550423,13.50882599316293,11.592983657941442,15.22569402397835,0.5735302336011818,12.158932360061776,0.5702,0.5544,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,174,0.2205363030756538,-0.4830936055506246,0.5835238820575557,13.478462977127757,11.85173660624072,15.169931691492224,0.5735302336011818,12.158932360061776,0.5875,0.5693,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,221,0.2242478862641519,-0.4760460439845936,0.5769305019925408,13.422865980514134,12.034132790896535,14.681054204876808,0.5735302336011818,12.158932360061776,0.6018,0.5824,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,281,0.228900456274279,-0.4665824352186051,0.5703041315707041,13.443517479734982,12.276058721725658,14.539351529942032,0.5735302336011818,12.158932360061776,0.6172,0.5978,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,25,348,0.237794784721856,-0.4561865972203028,0.5639600854709145,13.463060914664885,12.465048035516038,14.374697439491532,0.5735302336011818,12.158932360061776,0.62,0.6147,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,20,0.2254406042110247,-0.5541009781532045,0.7437166233083882,13.169592645893989,7.649346892778818,19.55157695760646,0.5735302336011818,12.158932360061776,0.3468,0.3064,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,25,0.2402057509525807,-0.527195912610533,0.7112236961405666,13.357633014707089,8.671814638488353,18.570456143400087,0.5735302336011818,12.158932360061776,0.3967,0.3544,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,32,0.2363867055066306,-0.514025330071246,0.6961661698664438,13.700464147923256,8.997271297068984,18.025055377725828,0.5735302336011818,12.158932360061776,0.4321,0.3943,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,41,0.2359712820270571,-0.5019239140965742,0.67533076166958,13.560246205788284,9.539974852649976,17.35970594955638,0.5735302336011818,12.158932360061776,0.4737,0.4366,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,52,0.2437167959982168,-0.478149147967436,0.6603881242810862,13.465607568642618,9.716761657937356,16.844264830687607,0.5735302336011818,12.158932360061776,0.5147,0.4751,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,67,0.2547288912693647,-0.4751372058817926,0.649027982243585,13.558407960414817,10.788177438017833,16.346919231771906,0.5735302336011818,12.158932360061776,0.5497,0.5203,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,85,0.2535940511901611,-0.4739636113663231,0.6376047322927917,13.444579013188886,10.933517747337492,15.844421987730152,0.5735302336011818,12.158932360061776,0.572,0.5467,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,108,0.2529168934149667,-0.4678196600642644,0.6270466729446124,13.387434839941845,11.136433101055742,15.30211188019112,0.5735302336011818,12.158932360061776,0.5892,0.5689,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,137,0.2574997174835577,-0.4760130992288249,0.6205237060824832,13.461726618513662,11.564865206526454,15.180459152319422,0.5735302336011818,12.158932360061776,0.6032,0.5856,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,174,0.2619316989083028,-0.4722668733113396,0.6118435525778521,13.415667455957417,11.812966261386388,15.134439055069809,0.5735302336011818,12.158932360061776,0.62,0.6021,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,221,0.2615060433818561,-0.473980226929492,0.6055862441858402,13.380776502340442,11.988818589412372,14.621327239647425,0.5735302336011818,12.158932360061776,0.6344,0.6213,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,281,0.26634101661186,-0.4745054559234464,0.6016944530183126,13.387225796135656,12.247247502987538,14.46856220481581,0.5735302336011818,12.158932360061776,0.6502,0.6359,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,32,348,0.261670376532003,-0.4729838598201665,0.5970140195115611,13.472521099339549,12.498794268596296,14.2822096783997,0.5735302336011818,12.158932360061776,0.66,0.6412,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,20,0.2676710493807244,-0.5226918775368035,0.7516169105894782,13.096499191884046,7.580046686589658,19.51689883067996,0.5735302336011818,12.158932360061776,0.3797,0.3404,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,25,0.278672833050043,-0.4918088219952061,0.720187359815988,13.29244405214378,8.50003901558269,18.5433710708848,0.5735302336011818,12.158932360061776,0.432,0.3916,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,32,0.2742895178144839,-0.478245048859353,0.7000113176154431,13.61481307695248,8.96616354842097,17.971042325395622,0.5735302336011818,12.158932360061776,0.475,0.4333,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,41,0.2777376598750408,-0.4581314745497519,0.6849485227327753,13.51122457097713,9.514093034798831,17.299696170561507,0.5735302336011818,12.158932360061776,0.5203,0.4847,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,52,0.2802586607431894,-0.4404046605049656,0.6692039473985621,13.378555159905533,9.640894448783063,16.71127513604957,0.5735302336011818,12.158932360061776,0.5573,0.5249,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,67,0.2887582436647027,-0.432941224560095,0.659027681940817,13.48666168865702,10.74406532972564,16.295903519190112,0.5735302336011818,12.158932360061776,0.596,0.5717,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,85,0.2902833619177445,-0.4232306047527593,0.6500869144917572,13.379066900470391,10.902827040389662,15.791943144370991,0.5735302336011818,12.158932360061776,0.6219,0.6001,1.0,1.0,0.5735302336011818,12.158932360061776
